# Private Credit Loan Portfolio (50 Loans)
# Format: loan_id|borrower|sector|principal|rate_type|base_rate|spread|origination_date|maturity_months|io_months|amort_style|origination_rate|current_spread|ltv|dscr|credit_rating|prepay_penalty|default_prob|seniority|collateral_type|geography|vintage_yield|coupon_freq|floating_reset_freq

LOAN_013|HospitalGroup Nu|Healthcare|25000000|fixed|none|0.0000|2022-08-30|60|24|interest_only|0.0875|0.0000|0.45|1.95|A-|0.030|0.015|Senior|Real Estate|Massachusetts|0.0875|semi_annual|none
LOAN_014|MiningCorp Xi|Materials|32000000|floating|SOFR|0.0925|2022-07-14|78|30|annuity|0.0987|0.0925|0.52|1.88|BB+|0.040|0.020|Senior|Mining Assets|Nevada|0.1363|quarterly|quarterly
LOAN_015|ConstructionCo Omicron|Construction|13500000|floating|EFFR|0.0645|2023-09-12|42|8|annuity|0.0978|0.0645|0.71|1.39|B|0.019|0.048|Senior|Equipment|North Carolina|0.1078|monthly|monthly

LOAN_016|PharmaDev Pi|Pharmaceuticals|19800000|fixed|none|0.0000|2023-01-05|54|18|interest_only|0.0950|0.0000|0.65|1.52|BB-|0.025|0.032|Senior|IP&Patents|New Jersey|0.0950|quarterly|none
LOAN_017|AutoParts Rho|Automotive|10200000|floating|DGS2|0.0715|2023-03-28|36|9|annuity|0.1085|0.0715|0.74|1.31|B+|0.016|0.038|Senior|Inventory|Michigan|0.1085|monthly|semi_annual
LOAN_018|DataCenter Sigma|Technology|24500000|floating|SOFR|0.0775|2022-12-20|72|24|interest_only|0.0847|0.0775|0.58|1.72|BB|0.032|0.025|Senior|Real Estate|Virginia|0.1213|monthly|quarterly
LOAN_019|RestaurantChain Tau|Consumer Discretionary|8900000|fixed|none|0.0000|2023-05-03|39|3|annuity|0.1125|0.0000|0.78|1.22|B-|0.014|0.055|Senior|Real Estate|Arizona|0.1125|monthly|none
LOAN_020|CleanEnergy Upsilon|Utilities|21000000|floating|DGS10|0.0665|2022-11-18|90|30|annuity|0.0755|0.0665|0.48|2.05|BBB-|0.035|0.012|Senior|Power Assets|California|0.1155|quarterly|annual

LOAN_021|MaritimeShipping Phi|Transportation|14600000|floating|SOFR|0.0805|2023-04-15|45|15|interest_only|0.0843|0.0805|0.66|1.44|B+|0.023|0.034|Senior|Vessels|Louisiana|0.1243|quarterly|quarterly
LOAN_022|BiotechLab Chi|Healthcare|9700000|fixed|none|0.0000|2023-06-30|33|0|annuity|0.1175|0.0000|0.85|1.18|B|0.012|0.062|Subordinated|Equipment|California|0.1175|monthly|none
LOAN_023|WasteManagement Psi|Utilities|16200000|floating|EFFR|0.0595|2022-09-08|54|12|annuity|0.0925|0.0595|0.61|1.58|BB|0.026|0.026|Senior|Infrastructure|Florida|0.0928|monthly|monthly
LOAN_024|TextileMfg Omega|Consumer Discretionary|7100000|floating|DGS5|0.0735|2023-07-18|48|12|annuity|0.1155|0.0735|0.73|1.35|B|0.018|0.045|Senior|Machinery|South Carolina|0.1155|monthly|semi_annual
LOAN_025|AirlineServices Alpha2|Transportation|26500000|fixed|none|0.0000|2022-06-22|84|36|interest_only|0.0825|0.0000|0.54|1.85|BB+|0.038|0.018|Senior|Aircraft|Illinois|0.0825|semi_annual|none

LOAN_026|SemiconductorCo Beta2|Technology|17800000|floating|SOFR|0.0745|2023-02-28|42|15|annuity|0.1183|0.0745|0.67|1.48|BB-|0.021|0.029|Senior|Equipment|Texas|0.1183|monthly|quarterly
LOAN_027|InsuranceGroup Gamma2|Financial Services|12300000|floating|DGS2|0.0685|2023-08-14|60|18|interest_only|0.1055|0.0685|0.38|2.15|A|0.029|0.008|Senior|Securities|Connecticut|0.1055|quarterly|semi_annual
LOAN_028|AgriEquipment Delta2|Agriculture|8400000|fixed|none|0.0000|2023-04-05|36|6|annuity|0.0985|0.0000|0.76|1.28|B|0.015|0.044|Senior|Equipment|Nebraska|0.0985|monthly|none
LOAN_029|PetrochemicalCorp Epsilon2|Energy|29000000|floating|SOFR|0.0875|2022-10-30|78|30|annuity|0.0938|0.0875|0.51|1.92|BB+|0.042|0.019|Senior|Refinery|Texas|0.1313|quarterly|quarterly
LOAN_030|PrintingServices Zeta2|Industrials|6500000|floating|EFFR|0.0625|2023-09-25|30|0|annuity|0.0955|0.0625|0.79|1.24|B+|0.013|0.038|Senior|Equipment|Pennsylvania|0.0958|monthly|monthly

LOAN_031|MedicalDevices Eta2|Healthcare|20100000|fixed|none|0.0000|2023-01-18|48|12|interest_only|0.0900|0.0000|0.68|1.41|BB|0.024|0.030|Senior|Equipment|Minnesota|0.0900|quarterly|none
LOAN_032|ColdStorage Theta2|Real Estate|15400000|floating|DGS10|0.0705|2022-12-08|66|24|annuity|0.0795|0.0705|0.63|1.55|BB|0.031|0.023|Senior|Warehouses|Georgia|0.1195|monthly|annual
LOAN_033|SportsEntertain Iota2|Consumer Discretionary|11800000|floating|SOFR|0.0785|2023-05-22|39|9|interest_only|0.1223|0.0785|0.72|1.32|B+|0.017|0.036|Senior|Facilities|Florida|0.1223|monthly|quarterly
LOAN_034|PlasticsManf Kappa2|Materials|9600000|fixed|none|0.0000|2023-07-06|42|6|annuity|0.1025|0.0000|0.74|1.29|B|0.018|0.041|Senior|Machinery|Ohio|0.1025|monthly|none
LOAN_035|TowerCommunications Lambda2|Telecommunications|23200000|floating|DGS5|0.0695|2022-08-15|72|18|interest_only|0.0815|0.0695|0.55|1.75|BBB-|0.033|0.014|Senior|Towers|North Carolina|0.1115|quarterly|semi_annual

LOAN_036|WineProduction Mu2|Consumer Staples|7800000|floating|SOFR|0.0655|2023-03-10|48|12|annuity|0.1093|0.0655|0.69|1.38|B|0.020|0.040|Senior|Inventory|California|0.1093|monthly|quarterly
LOAN_037|PackagingCorp Nu2|Materials|13700000|fixed|none|0.0000|2023-06-18|36|0|annuity|0.0975|0.0000|0.71|1.35|B+|0.016|0.037|Senior|Equipment|Wisconsin|0.0975|monthly|none
LOAN_038|CyberSecurity Xi2|Technology|16900000|floating|EFFR|0.0765|2022-11-28|54|18|interest_only|0.1095|0.0765|0.75|1.25|B+|0.025|0.033|Subordinated|Software|Maryland|0.1098|monthly|monthly
LOAN_039|PetSupplies Omicron2|Consumer Staples|5200000|floating|DGS2|0.0645|2023-08-31|30|3|annuity|0.1015|0.0645|0.82|1.18|B-|0.012|0.048|Senior|Inventory|Colorado|0.1015|monthly|semi_annual
LOAN_040|MachineryRental Pi2|Industrials|18300000|fixed|none|0.0000|2022-07-25|60|24|interest_only|0.0850|0.0000|0.64|1.48|BB|0.028|0.025|Senior|Equipment|Illinois|0.0850|quarterly|none

LOAN_041|AerospaceParts Rho2|Aerospace|22700000|floating|SOFR|0.0825|2023-02-12|66|21|annuity|0.1263|0.0825|0.59|1.68|BB-|0.030|0.027|Senior|Equipment|Washington|0.1263|monthly|quarterly
LOAN_042|VeterinaryClinics Sigma2|Healthcare|8100000|floating|DGS5|0.0675|2023-05-28|42|9|interest_only|0.1095|0.0675|0.73|1.32|B+|0.019|0.035|Senior|Real Estate|Texas|0.1095|quarterly|semi_annual
LOAN_043|GlassManufacturing Tau2|Materials|12600000|fixed|none|0.0000|2023-04-20|48|15|annuity|0.1050|0.0000|0.70|1.37|B|0.021|0.039|Senior|Equipment|Indiana|0.1050|monthly|none
LOAN_044|FurnitureRetail Upsilon2|Consumer Discretionary|6900000|floating|SOFR|0.0695|2022-12-18|36|6|annuity|0.1133|0.0695|0.77|1.26|B|0.014|0.043|Senior|Inventory|North Carolina|0.1133|monthly|quarterly
LOAN_045|DataAnalytics Phi2|Technology|14500000|floating|EFFR|0.0735|2023-07-14|45|12|interest_only|0.1065|0.0735|0.71|1.35|B+|0.022|0.034|Senior|Software|New York|0.1068|monthly|monthly

LOAN_046|OrganicFarms Chi2|Agriculture|9300000|fixed|none|0.0000|2023-09-05|54|18|annuity|0.0925|0.0000|0.65|1.45|B+|0.025|0.032|Senior|Land|Oregon|0.0925|quarterly|none
LOAN_047|MetalRecycling Psi2|Materials|11200000|floating|DGS10|0.0715|2022-09-12|48|12|annuity|0.0825|0.0715|0.68|1.42|BB|0.020|0.028|Senior|Equipment|Pennsylvania|0.1205|monthly|annual
LOAN_048|CloudServices Omega2|Technology|19500000|floating|SOFR|0.0775|2023-01-28|39|9|interest_only|0.1213|0.0775|0.78|1.22|B+|0.018|0.036|Subordinated|Software|California|0.1213|monthly|quarterly
LOAN_049|ElectricUtility Alpha3|Utilities|27600000|fixed|none|0.0000|2022-05-15|96|48|interest_only|0.0775|0.0000|0.42|2.25|BBB|0.045|0.010|Senior|Power Plants|Arizona|0.0775|semi_annual|none
LOAN_050|CraftBrewing Beta3|Consumer Staples|4700000|floating|DGS2|0.0665|2023-06-08|33|3|annuity|0.1035|0.0665|0.75|1.28|B|0.013|0.042|Senior|Equipment|Vermont|0.1035|monthly|semi_annual
